nodo1,nodo2,tiempo,energia_requerida,variacion_temperatura
1,167,0.049999999999999524,0.07499999999999929,0.037499999999999645
167,98,0.02533333333333303,0.03799999999999955,0.018999999999999774
98,85,0.04533333333333379,0.06800000000000068,0.03400000000000034
85,66,0.06600000000000013,0.0990000000000002,0.0495000000000001
66,237,0.18170655999996274,0.27255983999994415,0.13627991999997208
237,11,0.13816800000003013,0.2072520000000452,-0.1036260000000226
11,81,0.19533333333333378,0.2930000000000007,0.14650000000000035
81,234,0.010000160000071883,0.015000240000107823,0.007500120000053912
234,43,0.15999983999992792,0.2399997599998919,-0.11999987999994595
43,236,0.1506657599999201,0.22599863999988018,0.11299931999994009
236,111,0.21076538666670785,0.3161480800000618,-0.1580740400000309
111,227,0.21195066666673484,0.31792600000010224,0.15896300000005112
227,16,0.21215141333328802,0.31822711999993203,-0.15911355999996601
16,235,0.224078293333298,0.33611743999994703,0.16805871999997352
235,176,0.20874495999996487,0.31311743999994734,-0.15655871999997367
176,231,0.2181531199998948,0.3272296799998422,0.1636148399999211
231,53,0.2334864533332284,0.3502296799998426,-0.1751148399999213
53,226,0.2359310933332954,0.35389663999994314,0.17694831999997157
226,103,0.2465977599999614,0.36989663999994205,-0.18494831999997102
103,51,0.25533333333333275,0.3829999999999991,0.19149999999999956
51,238,0.16497029333334629,0.24745544000001943,0.12372772000000971
238,120,0.2627677333333613,0.3941516000000419,-0.19707580000002095
120,233,0.1466102933334156,0.2199154400001234,0.1099577200000617
233,165,0.29674789333324203,0.44512183999986304,-0.22256091999993152
165,222,0.2893398933332705,0.4340098399999057,0.21700491999995286
222,200,0.1680065599999376,0.2520098399999064,-0.1260049199999532
200,224,0.13578175999995826,0.2036726399999374,0.1018363199999687
224,71,0.29632437333335465,0.44448656000003195,-0.22224328000001597
71,221,0.30239893333339485,0.45359840000009227,0.22679920000004614
221,171,0.20039893333339479,0.3005984000000922,-0.1502992000000461
171,232,0.06135077333332551,0.09202615999998827,0.046013079999994135
232,179,0.32289711999998094,0.4843456799999714,-0.2421728399999857
179,228,0.32949023999989985,0.4942353599998498,0.2471176799999249
228,124,0.19549023999989998,0.29323535999984995,-0.14661767999992498
124,36,0.17333333333333342,0.2600000000000001,0.13000000000000006
36,191,0.2099999999999999,0.31499999999999984,0.15749999999999992
191,44,0.25999999999999945,0.3899999999999991,0.19499999999999956
44,230,0.09431344000006685,0.14147016000010026,0.07073508000005013
230,138,0.3715658133332918,0.5573487199999377,-0.27867435999996887
138,101,0.13933333333333356,0.20900000000000035,0.10450000000000018
101,137,0.32533333333333353,0.48800000000000027,0.24400000000000013
137,219,0.389937386666638,0.584906079999957,0.2924530399999785
219,164,0.18187722666670728,0.2728158400000609,-0.13640792000003046
164,220,0.17069114666673688,0.25603672000010536,0.12801836000005268
220,147,0.415715679999955,0.6235735199999326,-0.3117867599999663
147,161,0.3646666666666666,0.5469999999999999,0.27349999999999997
161,35,0.36999999999999983,0.5549999999999997,0.27749999999999986
35,119,0.3539999999999997,0.5309999999999995,0.26549999999999974
119,12,0.008666666666665889,0.012999999999998835,0.006499999999999418
12,159,0.4453333333333338,0.6680000000000007,0.33400000000000035
159,26,0.3040000000000006,0.45600000000000096,0.22800000000000048
26,218,0.14590298666668625,0.21885448000002938,0.10942724000001469
218,55,0.4331993066666489,0.6497989599999734,-0.3248994799999867
55,93,0.46999999999999936,0.704999999999999,0.3524999999999995
93,102,0.4073333333333328,0.6109999999999992,0.3054999999999996
102,126,0.14866666666666598,0.22299999999999898,0.11149999999999949
126,168,0.19800000000000087,0.2970000000000013,0.14850000000000066
168,54,0.38400000000000034,0.5760000000000005,0.28800000000000026
54,216,0.1668662399999614,0.2502993599999421,0.12514967999997104
216,38,0.3422374399999413,0.5133561599999119,-0.25667807999995595
38,21,0.00599999999999928,0.00899999999999892,0.00449999999999946
21,83,0.32666666666666705,0.49000000000000055,0.24500000000000027
83,123,0.09866666666666693,0.1480000000000004,0.0740000000000002
123,240,0.5038025600000485,0.7557038400000728,0.3778519200000364
240,33,0.5071358933333822,0.7607038400000732,-0.3803519200000366
33,169,0.5126666666666665,0.7689999999999998,0.3844999999999999
169,143,0.5179999999999997,0.7769999999999996,0.3884999999999998
143,189,0.42733333333333356,0.6410000000000003,0.3205000000000002
189,154,0.5286666666666666,0.7929999999999999,0.39649999999999996
154,152,0.5353333333333329,0.8029999999999994,0.4014999999999997
152,64,0.05999999999999943,0.08999999999999915,0.044999999999999575
64,153,0.2613333333333335,0.3920000000000002,0.1960000000000001
153,7,0.1593333333333329,0.23899999999999935,0.11949999999999968
7,34,0.5726666666666664,0.8589999999999997,0.4294999999999998
34,52,0.03933333333333309,0.05899999999999963,0.029499999999999815
52,195,0.5840000000000009,0.8760000000000012,0.4380000000000006
195,209,0.2446920000000105,0.3670380000000158,0.1835190000000079
209,87,0.5920931733333367,0.8881397600000049,-0.44406988000000247
87,76,0.09599999999999985,0.14399999999999977,0.07199999999999988
